IDT_PI;NUM_TIE;NOM_TIE;PRN;ADR_LIG1;ADR_LIG2;ADR_LIG3;ADR_LIG4;ADR_LIG5;ADR_LIG6;NUM_TEL_DOM_INL;NUM_TEL_MOB_INL;ADR_EMA;NOM_VIL;COD_IDT_NTN;DAT_MAJ_ADR;LIB_TIT;COD_PST;COD_PAY_ISO;NOM_CMU_NAI
655010234;"2500003178436";"CEBBCACFZAAAFZTIER";"";"CEBBCACFZAAAFZTIER";"";"";"";"RUE DE L'ABRICOTIER 5";"1000 BRUXELLES";"";"";"PRO@FREE.BE";"BRUXELLES";"";24NOV2025;"";"1000";"BE";""
655010248;"2500003178512";"VIRJXBF";"NTASEIJZR";"M NTASEIJZR VIRJXBF";"";"";"";"BOULEVARD DU ROI ALBERT II 2";"1000 BRUXELLES";"";"0455677336";"TTSAXL@E-I.COM";"BRUXELLES";"04032896773";24NOV2025;"Monsieur";"1000";"BE";"LILLE"
655010249;"2500003178544";"JANSSENS";"BART";"M BART JANSSENS";"";"";"";"WETSTRAAT 16";"1000 BRUSSEL";"";"0468210388";"BART.JANSSENS@GMAIL.COM";"BRUSSEL";"80012581129";09JAN2026;"Monsieur";"1000";"BE";"BRUXELLES"
655010254;"2500003178588";"FNLLTOKQT";"OUOWQVIAYXRRUM";"M OUOWQVIAYXRRUM FNLLTOKQT";"";"";"";"BOULEVARD DU ROI ALBERT II 2";"1000 BRUXELLES";"";"0455858667";"AXQNLXS@E-I.COM";"BRUXELLES";"01051887528";25NOV2025;"Monsieur";"1000";"BE";"BRUXELLES"
655010256;"2500003178678";"KTFSJB";"YSENDQZUCLU";"M YSENDQZUCLU KTFSJB";"";"";"";"BOULEVARD DU ROI ALBERT II 2";"1000 BRUXELLES";"";"0455835778";"ATZAOTCHSEPOHDMTMFB@E-I.COM";"BRUXELLES";"75013014948";26NOV2025;"Monsieur";"1000";"BE";"BRUXELLES"
655010259;"2500003178748";"QAFOHR";"XWOSSHYHQLFRFVUP";"MME XWOSSHYHQLFRFVUP QAFOHR";"";"";"";"BOULEVARD DU ROI ALBERT II 2";"1000 BRUXELLES";"";"0470912409";"OOESUCCCNWBNHAC@E-I.COM";"BRUXELLES";"98072279867";27NOV2025;"Madame";"1000";"BE";"BRUXELLES"
655010263;"2900000000853";"LOAN";"MILENA";"MME MILENA LOAN";"";"";"";"ROUTE DU MOULIN";"6222 BRYE";"";"0495290222";"WEKJX5RP2L5N64EXWT@05EG45.TEST";"BRYE";"90102803221";24JAN2022;"Madame";"6222";"BE";"CHARLEROI(D 1)"
655010278;"2900000002196";"ESTEVE";"ERELL";"GUHF. ERELL ESTEVE";"";"";"";"LAAN BIBLIOTHEK";"9870 ZULTE";"098618525";"0444119889";"KDJROHZ0K.ZO0BABS@BVEX2.TEST";"ZULTE";"44031158827";24NOV2018;"Mevrouw";"9870";"BE";"ZULTE"
655010281;"2900000002972";"PAQUIN";"LINDSEY";"MME LINDSEY CHARLIE SASHA";"";"";"";"RUE DE L ETOILE";"1070 ANDERLECHT";"";"0436327956";"OTFXYIFFOH@BT63SY.TEST";"ANDERLECHT";"90081401655";20NOV2025;"Madame";"1070";"BE";"BERCHEM-SAINTE-AGATHE"
655010283;"2900000003184";"KYLIAN";"RAMA";"MME RAMA KYLIAN";"";"";"";"XJ XEAWUQVFF 143 LE 01";"4400 FLEMALLE";"";"0475277735";"ND2901202601@E-I.COM";"FLEMALLE";"79032389892";29JUL2022;"Madame";"4400";"BE";"SAINT-NICOLAS"
655010285;"2900000003194";"JEANNE";"SANTU";"M SANTU JEANNE";"";"";"";"AVENUE DES PUITS";"1120 BRUXELLES";"";"0422078688";"OIYGTIMS.XR7P.3SW2@39Y4.TEST";"BRUXELLES";"73021282769";24NOV2018;"Monsieur";"1120";"BE";"IXELLES"
655010290;"2900000003751";"EDEN";"DAN";"M DAN EDEN";"";"";"";"BOULEVARD D ALLEMAGNE";"6224 WANFERCEE-BAULET";"";"0422564904";"C.HFSUI52LQ@83CV.TEST";"WANFERCEE-BAULET";"69011735113";14NOV2022;"Monsieur";"6224";"BE";"CHARLEROI"
655010293;"2900000004075";"KYLIAN";"SONIA";"MME SONIA KYLIAN";"";"";"";"AVENUE DE LA GARE";"1620 DROGENBOS";"";"0422306568";"CH0J0@6O1YNT.TEST";"DROGENBOS";"63031453895";09APR2019;"Madame";"1620";"BE";"ETTERBEEK"
655010297;"2900000004252";"EDEN";"AMBRE";"GUHF. AMBRE EDEN";"";"";"";"DDQLBCOCOJSCP 2";"8800 ROESELARE";"056036461";"";"";"ROESELARE";"69031385036";24NOV2018;"Mevrouw";"8800";"BE";"KORTRIJK"
655010300;"2900000004514";"INAYA";"LEON";"SHF. LEON INAYA";"";"";"";"MARIE CURIE FELDWEG";"9032 WONDELGEM";"";"0429817294";"TJR_UNUK@9R41QW.TEST";"WONDELGEM";"86120361719";05FEB2024;"Mijnheer";"9032";"BE";"GENT"
655010301;"2900000004654";"HISHAM";"HARRY";"M HARRY HISHAM";"";"";"P342 ZGVQBE NOP RTGP, KW5BO";"";"PHNOM PENH 121100";"";"0495290222";"HVKIMHU_NMQ6O4Q09T@J1EB06.TEST";"PHNOM PENH";"84102561977";04APR2025;"Monsieur";"121100";"KH";"MOUSCRON"
655010304;"2900000005725";"THAIS";"MATEJ";"M MATEJ THAIS";"";"";"";"AUSTRIAFELDWEG";"1745 OPWIJK";"";"0436627645";"";"OPWIJK";"64020945947";24NOV2018;"Monsieur";"1745";"BE";"EREVAN"
655010308;"2900000006164";"SASHA";"MARCEL";"M MARCEL SASHA";"";"B008";"";"PLACE EINSTEIN";"1150 WOLUWE-SAINT-PIERRE";"";"0424557872";"KEPKS.TO3MO@W2RX.TEST";"WOLUWE-SAINT-PIERRE";"47061966387";13DEC2019;"Monsieur";"1150";"BE";"BUDAPEST"
655010310;"2900000006565";"SACHA";"ESTEVE";"M ESTEVE SACHA";"";"";"";"ROUTE DES BOIS";"1330 RIXENSART";"";"0433618807";"EDQFT3KO27NS@DV85U0.TEST";"RIXENSART";"88061352307";23JUN2025;"Monsieur";"1330";"BE";"WOLUWE-SAINT-LAMBERT"
655010315;"2900000007234";"CARLU";"VICTOR";"SHF. VICTOR CARLU";"";"";"";"EDBEG 67";"8500 KORTRIJK";"";"0423545322";"ZXHFSHI4YL@72BU.TEST";"KORTRIJK";"71031783372";24NOV2018;"Mijnheer";"8500";"BE";"KORTRIJK"
655010318;"2900000007324";"RICHER";"LIVIA";"MME LIVIA RICHER";"";"";"";"AVENUE DE FRANCE";"1070 ANDERLECHT";"020062770";"0477548961";"MARC.ROBILLARD@OWA.CM-CIC.FR";"ANDERLECHT";"41110280276";12DEC2025;"Madame";"1070";"BE";"PIRONCHAMPS"
655010322;"2900000007592";"TURGEON";"MOIRA";"GUHF. MOIRA DE NOA";"";"";"";"BOULEVARD DU ROI ALBERT II 2";"1000 BRUXELLES";"";"0455877777";"XVJUHUDRPUOO@E-I.COM";"BRUXELLES";"70031880054";04DEC2025;"Mevrouw";"1000";"BE";"GENT"
655010323;"2900000007839";"SAM";"MAELINE";"MME MAELINE SAM";"";"";"";"BOULEVARD DES CHARBONNIERS";"7500 TOURNAI";"";"0445411594";"UJYF.ZO3PU6@TY79XY.TEST";"TOURNAI";"81102361677";08OCT2025;"Madame";"7500";"BE";"MOUSCRON"
655010338;"2900000010167";"LABELLE";"NOLWENN";"GUHF. NOLWENN LABELLE";"";"";"";"MADRIDSTRASSE";"8501 BISSEGEM";"";"0437493255";"IQFJGGGW@TZOU.TEST";"BISSEGEM";"85090487874";29OCT2025;"Mevrouw";"8501";"BE";"WAREGEM"
655010343;"2900000010683";"LEBEL";"KELYA";"MME KELYA LEBEL";"";"";"";"AVENUE DU CARROUSEL";"6224 WANFERCEE-BAULET";"";"";"";"WANFERCEE-BAULET";"61082136650";24NOV2018;"Madame";"6224";"BE";"NAMUR"
655010344;"2900000010779";"MAX";"JASON";"M JASON MAX";"";"";"";"RUE JEAN FIEVET 46 BIS";"59960 NEUVILLE EN FERRAIN";"0378549679";"0676777564";"PEIKPINOMH@BT63S.TEST";"NEUVILLE EN FERRAIN";"";24NOV2018;"Monsieur";"59960";"FR";"ROUBAIX"
655010346;"2900000011108";"GIGUERE";"LUIGI";"SHF. LUIGI GIGUERE";"";"";"";"LAAN DER HOLLE";"8510 KORTRIJK";"";"0449246476";"NDIHHUON_OMZ1PQ3SX@J1EB06.TEST";"KORTRIJK";"83052480955";24NOV2018;"Mijnheer";"8510";"BE";"KORTRIJK"
