IDT_AC;REF_CTR_INN;NUM_FOL_XTR;DAT_CRE_MVT_CPB;NUM_ORD_MVT_CPB;COD_LNG_RIU;LIB_OPE_INL_1;LIB_OPE_INL_2;LIB_OPE_INL_3;LIB_OPE_INL_4
65500000611;"0029862221166";"02005";2026-05-08;"00001";"FR";"REJ NATIONALE THA COMPTE SOLDE";"";"";""
65500000760;"0029882034602";"06004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA THAIS";"BBA";""
65500001861;"0029882205525";"02004";2026-04-27;"00001";"FR";"BEOBANK BELGIUM";"";"";""
65500001861;"0029882205525";"02005";2026-05-08;"00001";"NL";"Domiciliëringsopdracht voor";"SEPA MARLEY ILOJHOLRUTI";"ZIEKENFONDSBIJDRAGEN 0810146497546";""
65500002217;"0029882117419";"04009";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA 2B RECYCL";"007636204628007636204628";""
65500003192;"0029172105169";"05004";2026-04-27;"00001";"FR";"Virement de";"OMUQDO BN";"202604240027719";""
65500003192;"0029172105169";"05004";2026-04-27;"00002";"FR";"Virement de";"KRISTE";"010236567004-000732";""
65500003192;"0029172105169";"05004";2026-04-27;"00003";"FR";"Domiciliation pour";"SEPA THAIS";"BBA";""
65500003192;"0029172105169";"05004";2026-04-27;"00004";"FR";"Domiciliation pour";"SEPA D.C.S.U. DINIUD";"CL1003026093CC100003699734";""
65500003192;"0029172105169";"05005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA SA G";"KARADAG ZOUAOUI CABINET SRL";""
65500003192;"0029172105169";"05005";2026-05-08;"00002";"FR";"Virement de";"OMUQDO BN";"202605070029106";""
65500003728;"0029142175217";"05005";2026-05-08;"00001";"NL";"Overschrijving van";"ENERGIE N";"29787 L 202618 II";""
65500003728;"0029142175217";"05005";2026-05-08;"00002";"NL";"Overschrijving van";"NHFIDDUTIBRU GADAOTIDUI";"88593218";""
65500005992;"0029932024341";"06005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA THAIS";"BBA";""
65500006161;"0029922209608";"02005";2026-05-08;"00001";"FR";"Virement de";"SLFAMILY S";"02911-25-26128412019586";""
65500006378;"0029892277725";"03005";2026-05-08;"00001";"FR";"Ech prêt 22629 950449009897";"22629 950449009897 AMO";"";""
65500006848;"0029852364108";"01004";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA ALIX NILDAGU";"SCF 352302177";""
65500007940;"0029932126687";"04005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ACCIDENTS DE LA VIE PRIVEE PM200000";""
65500007940;"0029932126687";"04005";2026-05-08;"00002";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ASSURANCE FAMILIALE BEOBANK JG85577";""
65500007940;"0029932126687";"04005";2026-05-08;"00003";"FR";"Domiciliation pour";"SEPA MARLEY KUT";"ASSURANCE HABITATION BEOBANK JG8559";""
65500008622;"0029862156402";"06004";2026-04-27;"00001";"FR";"Virement de";"MUTUALITE DITISOFI";"1849";""
65500008622;"0029862156402";"06005";2026-05-08;"00001";"FR";"Remboursement impayé 04/2026";"950070382222 AMO";"";""
65500009685;"0029952146496";"06004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA JOSEPH KADILUD";"BE261700925632";""
65500012201;"0029872094582";"08004";2026-04-27;"00001";"FR";"Virement de";"ESPACE N";"202604241622003585ISABEL";""
65500012201;"0029872094582";"08005";2026-05-08;"00001";"FR";"Virement de";"SOULAYMAN";"202605071546316874ISABEL";""
65500012201;"0029872094582";"08005";2026-05-08;"00002";"FR";"Virement de";"BLOUIN CROT";"00000000000000320023";""
65500012667;"0029952166145";"05004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA TCFM S";"LUMINUS ACOMPTE 5394529922";""
65500012826;"0029902276811";"03005";2026-05-08;"00001";"NL";"Overschrijving van";"ANTONI";"02911-25-26128412017700";""
65500013725;"0029862007662";"07004";2026-04-27;"00001";"FR";"Domiciliation pour";"SEPA JOSEPH KADILUD";"BE261700955451";""
65500013878;"0029932096294";"07005";2026-05-08;"00001";"FR";"Domiciliation pour";"SEPA HUGO";"DON";""
65500015689;"0029882238438";"01004";2026-04-27;"00001";"FR";"Virement de";"5F L.H";"OV-00021415-05077";""
65500015689;"0029882238438";"01004";2026-04-27;"00002";"FR";"Virement de";"5F L.H";"OV-00021415-05078";""
65500015689;"0029882238438";"01004";2026-04-27;"00003";"FR";"Virement de";"5F L.H";"OV-00021415-05079";""
65500015689;"0029882238438";"01005";2026-05-08;"00001";"FR";"Virement de";"5F L.H";"OV-00021467-08299";""
65500017425;"0029852133539";"04004";2026-04-27;"00001";"FR";"Virement de";"SFR KUTVIA";"SDX/000599/2026-04-24";""
65500017425;"0029852133539";"04004";2026-04-27;"00002";"FR";"Domiciliation pour";"SEPA PAVEL CAMIL";"VOTRE MENSUALITE ALPHA CREDIT118182";""
65500017425;"0029852133539";"04005";2026-05-08;"00001";"FR";"Virement de";"MUTUALITE NHFUDIULL";"20260506001018000-01090000260605000";""
65500019605;"0029962012374";"07004";2026-04-27;"00001";"FR";"Virement de";"ELIE ALEYNA";"02911-25-26117422006412";""
